time,shortwave_radiation,direct_radiation,diffuse_radiation,temperature_2m,relative_humidity_2m,cloud_cover
2026-04-10 00:00:00+00:00,0.0,0.0,0.0,5.0,85,8
2026-04-10 01:00:00+00:00,0.0,0.0,0.0,5.0,85,8
2026-04-10 02:00:00+00:00,0.0,0.0,0.0,5.0,85,8
2026-04-10 03:00:00+00:00,0.0,0.0,0.0,5.0,85,8
2026-04-10 04:00:00+00:00,0.0,0.0,0.0,5.0,85,8
2026-04-10 05:00:00+00:00,66.2,46.3,19.9,5.0,85,8
2026-04-10 06:00:00+00:00,195.0,136.5,58.5,6.9,78,8
2026-04-10 07:00:00+00:00,312.8,219.0,93.8,8.7,71,8
2026-04-10 08:00:00+00:00,413.2,289.2,124.0,10.3,64,8
2026-04-10 09:00:00+00:00,490.4,343.3,147.1,11.7,59,8
2026-04-10 10:00:00+00:00,540.2,378.1,162.1,12.8,55,8
2026-04-10 11:00:00+00:00,559.8,391.9,167.9,13.6,52,8
2026-04-10 12:00:00+00:00,548.0,383.6,164.4,14.0,50,8
2026-04-10 13:00:00+00:00,505.6,353.9,151.7,14.0,50,8
2026-04-10 14:00:00+00:00,434.9,304.4,130.5,13.6,52,8
2026-04-10 15:00:00+00:00,339.8,237.9,101.9,12.8,55,8
2026-04-10 16:00:00+00:00,225.7,158.0,67.7,11.7,59,8
2026-04-10 17:00:00+00:00,99.1,69.4,29.7,10.3,64,8
2026-04-10 18:00:00+00:00,0.0,0.0,0.0,8.7,71,8
2026-04-10 19:00:00+00:00,0.0,0.0,0.0,6.9,78,8
2026-04-10 20:00:00+00:00,0.0,0.0,0.0,5.0,85,8
2026-04-10 21:00:00+00:00,0.0,0.0,0.0,5.0,85,8
2026-04-10 22:00:00+00:00,0.0,0.0,0.0,5.0,85,8
2026-04-10 23:00:00+00:00,0.0,0.0,0.0,5.0,85,8
